product_name;url;image1_url;image2_url;product_price;description;sale_price;old_price;original_price;current_price;color;image_url;mpn;reference_code;category_id;Stock Status;color_homogeneizado;Categoria;Fondo;Modelo;Tag_1;Tag_2;Tag_3;Tag_4;Tag_5;Tag_6
Pantalón chándal técnico;https://www.pullandbear.com/es/pantalon-chandal-tecnico-l07678503?cS=711&pelement=662021368;https://static.pullandbear.net/2/photos//2024/I/0/2/p/7678/503/711/7678503711_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1718024511628&w=438&f=auto;https://static.pullandbear.net/assets/public/f880/13e8/1b8d4d6b9243/19fa07763736/07678503711-A2M/07678503711-A2M.jpg?ts=1718024500811&w=438&f=auto;19.99;Pantalón jogger chándal técnico en tejido interlock elástico, con bolsillos laterales con cremallera, cintura elástica con cordón y disponible en varios colores.;;;;19.99;Arena;https://static.pullandbear.net/assets/public/3f27/8d97/69754f3aa7e2/d58b620fd796/07678503711-c/07678503711-c.jpg?ts=1720745031458&w=106&f=auto;7678/503;7678503;1030204719;In stock;Marrón claro;Pantalón;Blanco;Modelo;Manga corta;Streetwear;Casual;Deportivo;Moderno;Bohemio
Pantalón jogger cargo;https://www.pullandbear.com/es/pantalon-jogger-cargo-l07678505?cS=507&pelement=662026868;https://static.pullandbear.net/assets/public/9119/1bb0/300946b6b5d6/1b9921de084e/07678505507-M/07678505507-M.jpg?ts=1722870595943&w=438&f=auto;https://static.pullandbear.net/assets/public/4aa9/1a79/261b4ddfa31e/83c00aa7c262/07678505507-A2M/07678505507-A2M.jpg?ts=1722865750906&w=438&f=auto;35.99;Pantalón jogger cargo con diseño de multibolsillos de solapa en pernera, cintura elástica con cordón ajustable y bajos elásticos.;;;;35.99;Caqui oscuro;https://static.pullandbear.net/assets/public/0bca/aaeb/0a284700beda/d4baae6305c3/07678505507-C/07678505507-C.jpg?ts=1720012530977&w=106&f=auto;7678/505;7678505;1030204719;In stock;Marrón claro;Pantalón;Blanco;Modelo;Chándal;Cuello alto;Moderno;Elegante;Casual;Clásico
Pantalón jogger cargo;https://www.pullandbear.com/es/pantalon-jogger-cargo-l07678502?cS=710&pelement=662014773;https://static.pullandbear.net/2/photos//2024/I/0/2/p/7678/502/710/7678502710_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1718356958457&w=438&f=auto;https://static.pullandbear.net/assets/public/b487/4e60/a9f94aed8a79/dab2d5f16c7a/07678502710-A2M/07678502710-A2M.jpg?ts=1718356956522&w=438&f=auto;25.99;Pantalón jogger cargo con cintura elástica con cordón, bolsillos y bajos elásticos.;;;;25.99;Beige;https://static.pullandbear.net/assets/public/4777/dc9b/ce794cfeb773/513862725754/07678502710-C/07678502710-C.jpg?ts=1718119242999&w=106&f=auto;7678/502;7678502;1030204719;In stock;Marrón claro;Pantalón;Blanco;Modelo;Manga larga;Monocromático;Rasgado;Standard;Cuello alto;Minimalista
Pantalón chándal STWD;https://www.pullandbear.com/es/pantalon-chandal-stwd-l07678506?cS=807&pelement=662026665;https://static.pullandbear.net/assets/public/e27d/4681/c1754e0c81aa/c4fdb54ccb52/07678506807-A1M/07678506807-A1M.jpg?ts=1724661527898&w=438&f=auto;https://static.pullandbear.net/assets/public/8f72/eb8e/7d4a4b73b53b/608dd0a841fa/07678506807-M/07678506807-M.jpg?ts=1724661184743&w=438&f=auto;19.99;Pantalón jogger chándal STWD con cintura elástica con cordón, bolsillos y en tejido fleece.;;;;19.99;Gris antracita;https://static.pullandbear.net/assets/public/e805/e4dd/b50d4197a263/55f824dd4a57/07678506807-C/07678506807-C.jpg?ts=1721661498261&w=106&f=auto;7678/506;7678506;1030204719;In stock;Gris;Pantalón;Blanco;Modelo;Tailoring;Cuello alto;Streetwear;Sin mangas;Baggy;Moderno
Pantalón jogger cargo;https://www.pullandbear.com/es/pantalon-jogger-cargo-l07678502?cS=400&pelement=662014772;https://static.pullandbear.net/assets/public/8f28/9a9e/8b5b4cfb84ee/52006268d6c9/07678502400-M/07678502400-M.jpg?ts=1731060350791&w=438&f=auto;https://static.pullandbear.net/assets/public/b15f/92e2/89944da3aa74/d19fb7afed9b/07678502400-A2M/07678502400-A2M.jpg?ts=1718619488029&w=438&f=auto;25.99;Pantalón jogger cargo con cintura elástica con cordón, bolsillos y bajos elásticos.;;;;25.99;Azul;https://static.pullandbear.net/assets/public/a674/d5f2/a9df4a33a1d1/5d2b4ee901fd/07678502400-C/07678502400-C.jpg?ts=1731060381847&w=106&f=auto;7678/502;7678502;1030204719;In stock;Azul;Pantalón;Blanco;Modelo;Bohemio;Manga larga;Color oscuro;Cuello alto;Monocromático;Carrot
Pantalón jogger cargo;https://www.pullandbear.com/es/pantalon-jogger-cargo-l07678502?cS=805&pelement=662014777;https://static.pullandbear.net/2/photos//2024/I/0/2/p/7678/502/805/7678502805_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1718357053465&w=438&f=auto;https://static.pullandbear.net/assets/public/1ddc/4a5f/bbf14d089b4d/8d220fb47037/07678502805-A2M/07678502805-A2M.jpg?ts=1718357019273&w=438&f=auto;25.99;Pantalón jogger cargo con cintura elástica con cordón, bolsillos y bajos elásticos.;;;;25.99;Hielo;https://static.pullandbear.net/assets/public/bc49/399f/cb0b44ff93b9/af54d26084f4/07678502805-C/07678502805-C.jpg?ts=1718024932970&w=106&f=auto;7678/502;7678502;1030204719;In stock;Marrón claro;Pantalón;Blanco;Modelo;Cuello alto;Vintage;Straight;Elegante;Moderno;Rasgado
Pantalón chándal técnico;https://www.pullandbear.com/es/pantalon-chandal-tecnico-l07678503?cS=807&pelement=662021371;https://static.pullandbear.net/2/photos//2024/I/0/2/p/7678/503/807/7678503807_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1718024557849&w=438&f=auto;https://static.pullandbear.net/assets/public/2150/07ab/e6e54dbc922e/b0d7e580a97e/07678503807-A2M/07678503807-A2M.jpg?ts=1718024561464&w=438&f=auto;19.99;Pantalón jogger chándal técnico en tejido interlock elástico, con bolsillos laterales con cremallera, cintura elástica con cordón y disponible en varios colores.;;;;19.99;Gris antracita;https://static.pullandbear.net/assets/public/add3/c8a8/bae04c1dab52/8567bdad7e52/07678503807-c/07678503807-c.jpg?ts=1720745033463&w=106&f=auto;7678/503;7678503;1030204719;In stock;Gris;Pantalón;Blanco;Modelo;Minimalista;Carrot;Elegante;Ajustado;Moderno;Monocromático
Pantalón jogger cargo;https://www.pullandbear.com/es/pantalon-jogger-cargo-l07678502?cS=800&pelement=662014775;https://static.pullandbear.net/2/photos//2024/I/0/2/p/7678/502/800/7678502800_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1718356993346&w=438&f=auto;https://static.pullandbear.net/assets/public/50b0/1495/d1304cefad4d/9d40bd1ddc5c/07678502800-A2M/07678502800-A2M.jpg?ts=1718357014278&w=438&f=auto;25.99;Pantalón jogger cargo con cintura elástica con cordón, bolsillos y bajos elásticos.;;;;25.99;Negro;https://static.pullandbear.net/assets/public/0ea7/ee73/b44f43a19f0c/444a2b7e7774/07678502800-C/07678502800-C.jpg?ts=1718024914098&w=106&f=auto;7678/502;7678502;1030204719;In stock;Negro;Pantalón;Blanco;Modelo;Color oscuro;Elegante;Cuello alto;Estampado;Ajustado;Straight
Pantalón jogger punto suave;https://www.pullandbear.com/es/pantalon-jogger-punto-suave-l07678513?cS=505&pelement=662014921;https://static.pullandbear.net/assets/public/a2db/78e2/9bf04d0fa04c/40ecfcd23e8e/07678513505-M/07678513505-M.jpg?ts=1723623543249&w=438&f=auto;https://static.pullandbear.net/assets/public/988b/0cba/6f7b40a79a99/421d1abf8b4d/07678513505-A2M/07678513505-A2M.jpg?ts=1723623565236&w=438&f=auto;25.99;Pantalón jogger de punto suave con cintura elástica con cordón y bolsillos.;;;;25.99;Caqui;https://static.pullandbear.net/assets/public/e826/88c7/ee2d4d6f85d8/0195dc5c6265/07678513505-C/07678513505-C.jpg?ts=1722954830170&w=106&f=auto;7678/513;7678513;1030204719;In stock;Marrón claro;Pantalón;Blanco;Modelo;Ajustada;Ajustada;Ajustada;Chándal;Color oscuro;Monocromático
Pantalón cargo costuras;https://www.pullandbear.com/es/pantalon-cargo-costuras-l07678507?cS=505&pelement=662014074;https://static.pullandbear.net/assets/public/76f8/67aa/dd0842d89e48/4fad830ed4de/03680513505-M/03680513505-M.jpg?ts=1737472783152&w=438&f=auto;https://static.pullandbear.net/assets/public/68ec/0714/0ce44095aa20/1225457171fb/03680513505-A2M/03680513505-A2M.jpg?ts=1737472782565&w=438&f=auto;25.99;Pantalón cargo con costuras en la rodilla, cintura con trabillas, cierre de botón y cremallera y bolsillos.;;;;25.99;Caqui;https://static.pullandbear.net/assets/public/d1a2/fe10/8b60433dad55/390543f81bd6/03680513505-C/03680513505-C.jpg?ts=1733233139003&w=106&f=auto;7678/507;7678507;1030204719;In stock;Marrón claro;Pantalón;Otro color;Modelo;Tailoring;Manga corta;Ajustado;Tailoring;Chándal;Skinny
Pantalón jogger punto suave;https://www.pullandbear.com/es/pantalon-jogger-punto-suave-l07678513?cS=800&pelement=662014919;https://static.pullandbear.net/assets/public/fbd2/a427/12594e3aae77/75f3223f9410/07678513800-M/07678513800-M.jpg?ts=1723623585132&w=438&f=auto;https://static.pullandbear.net/assets/public/a872/736d/c6dd41a4af95/91d3e667bb0c/07678513800-A2M/07678513800-A2M.jpg?ts=1723623532706&w=438&f=auto;25.99;Pantalón jogger de punto suave con cintura elástica con cordón y bolsillos.;;;;25.99;Negro;https://static.pullandbear.net/assets/public/76bc/978e/70bd43f58509/209c558f3196/07678513800-C/07678513800-C.jpg?ts=1722954848809&w=106&f=auto;7678/513;7678513;1030204719;In stock;Negro;Pantalón;Blanco;Modelo;Cargo;Vintage;Manga larga;Skinny;Casual;Color claro
Pantalón jogger cargo;https://www.pullandbear.com/es/pantalon-jogger-cargo-l07678502?cS=505&pelement=662014776;https://static.pullandbear.net/assets/public/1396/fef3/9ea342468d59/52adc141ea7a/07678502505-M/07678502505-M.jpg?ts=1734953441781&w=438&f=auto;https://static.pullandbear.net/assets/public/2b87/3e20/9956412ab3e1/9911e7c517cd/07678502505-A2M/07678502505-A2M.jpg?ts=1734953444250&w=438&f=auto;25.99;Pantalón jogger cargo con cintura elástica con cordón, bolsillos y bajos elásticos.;;;;25.99;Caqui;https://static.pullandbear.net/assets/public/db8f/bb83/c0c749c8bc87/85b80c144bb8/03680507505-C/03680507505-C.jpg?ts=1734024130776&w=106&f=auto;7678/502;7678502;1030204719;In stock;Marrón claro;Pantalón;Blanco;Modelo;Ajustada;Oversize;Moderno;Formal;Tailoring;Moderno
Pantalón tailoring wide leg;https://www.pullandbear.com/es/pantalon-tailoring-wide-leg-l07677509?cS=802;https://static.pullandbear.net/2/photos//2023/I/0/2/p/7677/509/802/7677509802_2_7_0.jpg?imwidth=%3Awidth%3A&ts=1699018625594&w=438&f=auto;https://static.pullandbear.net/assets/public/1193/cad3/7f0b4d0fa11f/61ab8d43f762/07677509802-M/07677509802-M.jpg?ts=1723623538919&w=438&f=auto;29.99;Pantalón de vestir tailoring wide leg, con pinzas delanteras, cintura con trabillas y cierre de botón y cremallera.;;;;29.99;Gris;https://static.pullandbear.net/2/photos//2023/I/0/2/p/7677/509/802/7677509802_1_1_0.jpg?imwidth=%3Awidth%3A&ts=1698413893704&w=106&f=auto;7677/509;7677509;1030574254;In stock;Gris;Pantalón;Otro color;Modelo;Straight;Carrot;Cuello alto;Bohemio;Elegante;Slim
Pantalón tailoring;https://www.pullandbear.com/es/pantalon-tailoring-l03680514?cS=800&pelement=662031865;https://static.pullandbear.net/assets/public/146e/31d7/886744488c08/b7cd15642030/03680514800-A7M/03680514800-A7M.jpg?ts=1732187816880&w=438&f=auto;https://static.pullandbear.net/assets/public/1fb4/08de/ebe1429eb9a3/7408891677cc/03680514800-M/03680514800-M.jpg?ts=1731939827381&w=438&f=auto;29.99;Pantalón de vestir tailoring con cintura con trabillas, bolsillos, y cierre de botón y cremallera.  Total look;;;;29.99;Negro;https://static.pullandbear.net/assets/public/4fbb/9733/e9c54a20808d/00b5e57da26a/03680514800-C/03680514800-C.jpg?ts=1731420584138&w=106&f=auto;3680/514;3680514;1030204719;In stock;Negro;Pantalón;Otro color;Modelo;Casual;Cargo;Vintage;Casual;Bohemio;Skinny
Pantalón chándal interlock super baggy;https://www.pullandbear.com/es/pantalon-chandal-interlock-super-baggy-l03680516?cS=922&pelement=662014323;https://static.pullandbear.net/assets/public/10b4/0348/88fd477b8638/232378c006a0/03680516922-A7M/03680516922-A7M.jpg?ts=1733827893540&w=438&f=auto;https://static.pullandbear.net/assets/public/4593/d7ff/31594db39a05/cedbe71150e8/03680516922-M/03680516922-M.jpg?ts=1732709907648&w=438&f=auto;27.99;Pantalón de chándal balloon fit y en tejido interlock, con acabado lavado, cintura elástica y confeccionado en algodón.  Total look;;;;27.99;Gris oscuro;https://static.pullandbear.net/assets/public/8b8b/302f/78994cddb4ae/8b231bd9104e/03680516922-C/03680516922-C.jpg?ts=1732622022742&w=106&f=auto;3680/516;3680516;1030204719;In stock;Gris;Pantalón;Otro color;Modelo;Cargo;Tailoring;Bohemio;Streetwear;Vintage;Deportivo
Pantalón chándal wide leg;https://www.pullandbear.com/es/pantalon-chandal-wide-leg-l03680529?cS=800&pelement=662020954;https://static.pullandbear.net/assets/public/225f/6bd8/b3e5472da087/407df7bde582/03680529800-A7M/03680529800-A7M.jpg?ts=1737450573415&w=438&f=auto;https://static.pullandbear.net/assets/public/1649/2cf8/ce8e43629ee8/9e3d00a8f461/03680529800-M/03680529800-M.jpg?ts=1736778469257&w=438&f=auto;25.99;Pantalón jogger chándal wide leg, con cintura elástica y confeccionado en algodón.;;;;25.99;Negro;https://static.pullandbear.net/assets/public/63c2/6c9e/357b444fb33f/2194cfc73663/03680529800-C/03680529800-C.jpg?ts=1733332525890&w=106&f=auto;3680/529;3680529;1030204719;In stock;Negro;Pantalón;Otro color;Modelo;Color oscuro;Ajustada;Deportivo;Slim;Manga corta;Formal
Pantalón cargo costuras;https://www.pullandbear.com/es/pantalon-cargo-costuras-l07678507?cS=802&pelement=662014075;https://static.pullandbear.net/assets/public/b420/2b7b/8a6b4d478478/fb69b30b8e80/03680513802-M/03680513802-M.jpg?ts=1736782832047&w=438&f=auto;https://static.pullandbear.net/assets/public/980d/4924/d64f43729e59/0bf7de8fc113/03680513802-A2M/03680513802-A2M.jpg?ts=1736783390238&w=438&f=auto;25.99;Pantalón cargo con costuras en la rodilla, cintura con trabillas, cierre de botón y cremallera y bolsillos.;;;;25.99;Gris;https://static.pullandbear.net/assets/public/b527/d4b5/7f0345f0ad36/14bba94ca930/03680513802-C/03680513802-C.jpg?ts=1734018018674&w=106&f=auto;7678/507;7678507;1030204719;In stock;Gris;Pantalón;Blanco;Modelo;Slim;Carrot;Vintage;Sin mangas;Baggy;Standard
Jeans carrot detalle rotos;https://www.pullandbear.com/es/jeans-carrot-detalle-rotos-l03683540?cS=712&pelement=665858899;https://static.pullandbear.net/assets/public/e9da/978a/39094a029eca/4b6631660ef5/03683540712-M/03683540712-M.jpg?ts=1736784406977&w=438&f=auto;https://static.pullandbear.net/assets/public/93af/4180/30c842e39c35/c8221c875fae/03683540712-A2M/03683540712-A2M.jpg?ts=1737642963441&w=438&f=auto;29.99;Jeans carrot fit con diseño de cinco bolsillos, con detalle de rotos en la pernera, cintura con trabillas, cierre de botón y cremallera y en algodón ligeramente elástico.;;;;29.99;Crudo;https://static.pullandbear.net/assets/public/65a5/f835/1c27412893a0/8c5f2e433e5f/03683540712-C/03683540712-C.jpg?ts=1737653660603&w=106&f=auto;3683/540;3683540;1030204719;In stock;Blanco;Pantalón;Blanco;Modelo;Elegante;Joggers;Manga corta;Ajustado;Oversize;Cargo
Pantalón jogger tejido plisado;https://www.pullandbear.com/es/pantalon-jogger-tejido-plisado-l03680530?cS=802&pelement=662020949;https://static.pullandbear.net/assets/public/5e27/81d7/60d94912acc3/9d8355e537af/03680530802-M/03680530802-M.jpg?ts=1731943208826&w=438&f=auto;https://static.pullandbear.net/assets/public/622f/7808/a1d540f08bbd/4d3a081b95e0/03680530802-A2M/03680530802-A2M.jpg?ts=1731943204751&w=438&f=auto;29.99;Pantalón jogger de corte recto con cierre de botón y cremallera y confeccionado en tejido plisado ligeramente elástico.;;;;29.99;Gris;https://static.pullandbear.net/assets/public/7cc6/2746/b40d45a6a8ae/7e17ca059eef/03680530802-C/03680530802-C.jpg?ts=1730999826563&w=106&f=auto;3680/530;3680530;1030204719;In stock;Gris;Pantalón;Blanco;Modelo;Joggers;Ajustado;Sin mangas;Carrot;Moderno;Tailoring
Pantalón chándal skater;https://www.pullandbear.com/es/pantalon-chandal-skater-l07679504?cS=922&pelement=662021057;https://static.pullandbear.net/assets/public/6cbb/e28e/19ac42b0adbb/a830e92ee8b1/07679504922-A7M/07679504922-A7M.jpg?ts=1726492254416&w=438&f=auto;https://static.pullandbear.net/assets/public/ce56/7e14/65774fc09197/eacf99548e0c/07679504922-M/07679504922-M.jpg?ts=1726492261982&w=438&f=auto;25.99;Pantalón jogger de corte skater en tejido efecto lavado, con cintura elástica con cordón, bordado STWD y bolsillos.;;;;25.99;Gris oscuro;https://static.pullandbear.net/assets/public/3a90/f1f6/dc3349719239/12d225beffb9/07679504922-C/07679504922-C.jpg?ts=1725972846236&w=106&f=auto;7679/504;7679504;1030204719;In stock;Gris;Pantalón;Blanco;Modelo;Moderno;Estampado;Deportivo;Cargo;Bohemio;Skater
Pantalón chándal skater;https://www.pullandbear.com/es/pantalon-chandal-skater-l07679504?cS=819&pelement=662021056;https://static.pullandbear.net/assets/public/90fb/ae24/bbb84c7aaf8f/27a5d169f629/07679504819-A7M/07679504819-A7M.jpg?ts=1727189485202&w=438&f=auto;https://static.pullandbear.net/assets/public/991d/69fa/3208463391ba/2d9b6e15d9a4/07679504819-M/07679504819-M.jpg?ts=1726502190706&w=438&f=auto;25.99;Pantalón jogger de corte skater en tejido efecto lavado, con cintura elástica con cordón, bordado STWD y bolsillos.;;;;25.99;Gris azul;https://static.pullandbear.net/assets/public/6706/cb2a/2ffa41749fb6/c3049f6b9ef6/07679504819-C/07679504819-C.jpg?ts=1725972918323&w=106&f=auto;7679/504;7679504;1030204719;In stock;Gris;Pantalón;Otro color;Modelo;Estampado;Manga larga;Standard;Manga larga;Carrot;Cargo
